label,input
peptic ulcer disease,I have a really strong appetite and I'm always hungry. My stomach sometimes aches and cramps. I have really painful gas and bloating after eating.
malaria,"I've been experiencing a high fever, vomiting, chills, and severe itching. I also have a headache and am sweating profusely. My discomfort has also been accompanied by nausea and muscle pain."
pneumonia,"I've been coughing a lot recently, and it hurts when I breathe deeply. I'm also feeling really cold and tired, and my heart is beating really fast. When I cough, I sometimes cough up phlegm that's a little bloody."
dengue,I have a high fever and a headache. My body hurts and I feel cold. I'm worried about my health.
arthritis,I've been having a lot of pain in my joints lately. My neck has been really stiff and it's hard for me to move it around. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
dengue,I have been having a really bad headache that is behind my eyes. I also have no appetite and feel really cold at night. 
chicken pox,"I have a fever, headache, and I can't eat. I feel like throwing up. I also have some red spots on my arms."
bronchial asthma,"I've been having trouble breathing, and I've been coughing a lot. I've been coughing up a lot of thick, mucoid sputum and have a high fever."
impetigo,I have a rash on my skin that is made up of blisters. The blisters are painful and they are filled with fluid. I also have a fever.
jaundice,"I have been feeling really sick lately. I have been itching all over, and I have been vomiting. I have also lost a lot of weight, and I have a fever. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain."
urinary tract infection,My pee is dark and bloody and has a very bad smell. I have been having temperature fluctuations and can't sleep at night
drug reaction,I have been having migraines and headaches. I can't sleep. My whole body is shaking and shivering. I feel dizzy sometimes.
cervical spondylosis,I have been having a lot of pain in my neck and back. I also have a dry cough and I feel weak and dizzy.
gastroesophageal reflux disease,"I have a burning feeling in my throat after I eat. I also sometimes get a bitter or sour taste in my mouth, which makes me feel sick."
cervical spondylosis,I have a lot of pain in my neck and back. I also feel weak and lightheaded. I've been coughing up mucus.
malaria,"I've been having a fever, chills, and nausea. I've also been sweating a lot and have a headache. My muscles are sore and I've been scratching a lot."
jaundice,"I've been feeling really sick lately. I've been itchy and throwing up, and I've lost a lot of weight. My skin has turned yellow, and I've been having a high fever. My stomach has also been hurting."
dengue,"I have been feeling nauseous, and I have lost my appetite. I also feel uneasy and have a pain in my back and muscles."
chicken pox,I've been feeling really sick lately. I've been having a lot of nausea and I feel really uneasy. I've also noticed some rashes on my arms and legs. I've lost my appetite and I feel exhausted every day.
diabetes,I have slow healing of wounds and cuts. I have this tingling sensation in my hand and numbness in both my hands and feet. I also have a lot of thirst and I'm always tired.
urinary tract infection,"I have a burning sensation when I pee. Sometimes it's really painful and my urine smells bad. I have to pee more often, especially at night."
jaundice,"I've been feeling really scratchy, dizzy, and worn out. I've lost weight and have a fever. My urine is dark, and my skin has turned yellow. I also get stomach pain."
fungal infection,I have red blotches all over my body and they are itchy. Some of the patches are different colors than my skin and I have bumps on my skin.
jaundice,"I have been feeling really sick lately. I have been vomiting, I am tired all the time, and I have lost a lot of weight. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain."
cervical spondylosis,"I've been having back pain, a dry cough, and weakness in my arms and legs. I've also been feeling dizzy and unsteady on my feet, and my neck hurts."
jaundice,I've been feeling really sick and tired. I've lost weight and have a fever. My urine is dark and my skin is yellow. I've also been having stomach pain.
impetigo,I have a rash around my nose and lips that is red and painful. It has some yellow fluid coming out of it.
dengue,I have been having severe muscle pain for the past few days. It feels like a constant ache. There are also red spots all over my body and the itching is really bad.
common cold,I've been feeling really sick lately. I've been sneezing a lot and my nose is running. My throat is also really scratchy and I've been feeling really tired.
fungal infection,I have a rash on my skin that is very uncomfortable. There are also some odd patches of a different color and some pimples that resemble little knots.
hypertension,"I have been feeling lightheaded and dizzy, and I have also noticed that I have been getting headaches more frequently."
drug reaction,I have terrible mental clarity and find it difficult to stay focused. I regularly forget things and have problems remembering things. I also have trouble concentrating and find it difficult to pay attention.
jaundice,"I've been feeling really scratchy, dizzy, and worn out. I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. I also have stomach pain."
varicose veins,I have varicose veins in my legs. They are very painful and make it difficult to sleep at night. I also get cramps when I sprint.
chicken pox,"I've been feeling really sick and I've lost my appetite. I've also noticed some red spots on my arms, neck, and face that itch when I touch them."
allergy,I have difficulty breathing and shortness of breath. I cough uncontrollably and my eyes get itchy and swell up. I also get swelling on my face and other body parts.
common cold,I feel weak and my lymph nodes are swollen. My eyes burn and my throat hurts. My sinuses are congested and my nose is stuffy. I can't smell anything and my chest hurts.
pneumonia,"I've been having chills, fatigue, and a cough for a few days. I've also been sweating a lot and feeling weak and unwell. I've had some thick, black phlegm, and my chest hurts. My heart has been racing, too."
common cold,"I've been feeling really sick and exhausted lately. My throat is scratchy, and my nose is running a lot. I also have a headache and my neck feels swollen."
impetigo,I have a rash on my face and near my nose. It's been there for a few days and it's starting to spread down my arms and legs.
peptic ulcer disease,"I have been having bloody stools for a while now, and I am also feeling quite weak. I think I may have anemia."
peptic ulcer disease,"I have a burning feeling in my stomach that is worse when I lie down. I also have pain after eating certain foods, like spicy or acidic foods. Sometimes I have loose stools after eating these foods."
bronchial asthma,"I have a cough that won't go away, and I'm having trouble breathing. I'm also really weak and tired, and my fever is really high. I'm coughing up a lot of mucus, and I'm really angry and frustrated."
urinary tract infection,I have been having a very low temperature and my pee smells really bad. The area near my kidneys hurts a lot and I can't seem to hold my pee. I often get these uncontrollable urges to go to the bathroom.
migraine,I have been having headaches for a while now. They are usually on the left side of my head and they are very painful. I also get nauseous and dizzy when I have a headache.
malaria,"I've been feeling really unwell. I have a headache, and I'm perspiring a lot. I've been uncomfortable from nausea and muscle ache, too. I've also been scratching a lot, and I have chills and a high fever."
bronchial asthma,"i have been having high fever since past few days , saliva also became thick , dry cough , weakness also seen"
varicose veins,My legs are swollen and the veins are protruding from my skin. They are painful and make it difficult to sleep at night.
malaria,"I've been having a fever, vomiting, chills, and severe itching. I also have a headache and am sweating a lot. My discomfort has also been accompanied by nausea and muscle pain."
malaria,"I've been feeling really sick. I've had a fever, chills, vomiting, and severe itching. I've also had a headache, and I've been perspiring a lot. I've been feeling really nauseous and my muscles ache."
gastroesophageal reflux disease,"I have a lot of heartburn, especially after eating spicy or fatty foods. My chest pain is worse when I hunch over or lie down."
dengue,"I have been vomiting frequently and have lost my appetite as a result. There are rashes on my skin and my eyes pain, because of which I cannot sleep properly."
peptic ulcer disease,"I have a burning sensation in my upper stomach that comes and goes. I also have heartburn, indigestion, and nausea."
allergy,I'm always exhausted and I feel like I have a tickle in my throat. My skin is dry and my eyes sometimes swell up.
urinary tract infection,"I've been feeling really down lately, and my pee smells like rotten eggs. My kidney area hurts, and I can't seem to hold my urine in. I have to go to the bathroom all the time."
impetigo,"I have a rash on my face, neck, and arms. It's red and burning. I'm worried about it."
psoriasis,"I've noticed a sudden peeling of skin on my arms, legs, and back. I also have joint pain and skin rashes. The rash is spreading to different parts of my body."
fungal infection,"I have a rash all over my body, and it's really itchy. I have some bumps that are quite firm, and some areas that are a darker shade from the rest of my skin. It's really unpleasant."
gastroesophageal reflux disease,"I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also have a lump in my throat and the hiccups a lot."
pneumonia,"I've been feeling really unwell recently. I've had a high temperature, chills, a cough, and I've been struggling to breathe. I've also been sweating a lot and feeling really weak and tired. I've also had some thick, red phlegm."
diabetes,I've been feeling really thirsty and hungry lately. I've also been feeling really tired.
drug reaction,"I'm losing hair, and my hair's texture has changed a lot. My dandruff is getting worse, and my dry, itchy scalp. My skin is getting really dry too."
malaria,"I've been feeling really sick. I have a high fever, chills, vomiting, and severe itching. I also have a headache, excessive sweating, nausea, and muscle aches."
cervical spondylosis,"I have been having back pain, a chronic cough, and weakness in my limbs. I have also been feeling disoriented and weak on my feet, and my neck hurts."
cervical spondylosis,"I have been having back pain, a cough, and weakness in my muscles. My neck hurts and I have been dizzy and have trouble balancing."
varicose veins,"I have itchy, inflamed skin on my calves that is hard to sleep with. I'm also concerned about the blood vessels that are protruding out."
bronchial asthma,I have a fever and I can't breathe through my nose or mouth. I'm tired and I've been coughing up mucus. Can you recommend some medications?
pneumonia,I'm feeling really hot. I can't breathe well. I'm sweating a lot. I'm shaking. I'm really tired. My heart is beating fast. I have some brown stuff coming up when I cough.
jaundice,I have been feeling very sick. I have been vomiting and have a high fever. My skin has become yellow and my urine is dark. I also have abdominal pain.
chicken pox,I have no appetite and I feel like vomiting. I am also very tired. I have rashes on my skin that are really concerning me.
impetigo,I have a rash on my cheeks and nose that is spreading to my neck and chest. I also have a fever.
bronchial asthma,"I have been coughing a lot lately, and it is hard for me to breathe. I also have a fever, and I feel weak and tired."
psoriasis,"I have a rash on my skin that is itchy and uncomfortable. I have also noticed small dents in my nails, which is concerning."
psoriasis,I have a rash on my arms and neck that bleeds and hurts when I scratch it. I also have small dents in my nails.
dengue,I've been feeling really cold and shivery. My back and eyes hurt a lot. I've also noticed some red spots on my back and neck. 
allergy,I have a stuffy nose and a blocked nose. I also have stiffness and chest pain sometimes at night. I can't taste or smell anything.
chicken pox,I have a rash that is itchy and it is making it hard to sleep at night. I have also lost my appetite and feel lethargic.
diabetes,"I've been feeling really tired lately. I've also been losing weight, and I'm always thirsty."
psoriasis,"I have thick, cracked skin on my fingers and soles that hurts and bleeds frequently. The skin is also itchy and covered with scales."
peptic ulcer disease,"I have been having bloody stools for a while now, and I am also feeling weak. I think I may have anaemia."
cervical spondylosis,"I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs."
hypertension,"I've been having headaches and chest pains, and I've also fainted a few times. I've also noticed that it's hard for me to focus."
drug reaction,"I've been having some weird changes in my monthly cycle, and I've been having some unexpected vaginal discharge. I've also been feeling really moody and agitated lately."
bronchial asthma,"I've been having trouble breathing lately. I've been coughing a lot, and my chest feels tight. I've also been feeling very tired and weak."
dengue,"I'm experiencing extreme body pain, headache and vomiting. I've developed red spots all over my body and I'm very itchy."
malaria,"I have a high fever, severe itching, chills, and vomiting. I also have a headache and have been perspiring a lot. Additionally, I have been nauseous and my muscles hurt."
typhoid,I have been having a stomach ache for the past week. It is not getting better even with medication. I feel like vomiting and I can't eat anything. I have become very weak.
impetigo,I have a fever and a headache. I have sores near my nose and rashes on my neck. I'm really struggling right now.
psoriasis,"I have a red, itchy rash on my face, especially around my nose, mouth, and eyes. My nails are also inflamed."
pneumonia,"I've been having a fever for a few days, and it's been getting worse. I'm having trouble breathing, and I'm coughing up a lot of phlegm. I'm also feeling really tired and weak."
impetigo,"I have a rash on my face that is red, itchy, and painful. It is also blistering. I have also been experiencing flu-like symptoms, such as fever and body pain."
gastroesophageal reflux disease,"I have heartburn and indigestion. I frequently vomit everything I eat, and it is hard for me to swallow since food gets caught in my throat. My upper abdomen is in discomfort."
drug reaction,I've been having mood swings and my monthly cycle has changed. I've also had some unexpected vaginal discharge.
jaundice,"I have been feeling very sick. I have been vomiting, I have a fever, and I have been itching all over. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain."
diabetes,I've been feeling really thirsty and hungry lately. I also feel really tired sometimes.
malaria,"I've been having a fever for a few days now, and it's been getting worse. I'm also really itchy, and I've been throwing up. I feel really weak and tired, and my head hurts. My muscles are also really sore."
bronchial asthma,"I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak."
chicken pox,I have a fever and red spots all over my body. I feel really tired and I don't want to eat anything. I'm worried about what's wrong with me.
gastroesophageal reflux disease,I have a lot of heartburn and acid reflux. I also feel sick after eating and sometimes throw up.
varicose veins,I have these cramps in my calves that are really painful. They come on suddenly and last for several minutes. They're making it hard for me to walk and do my daily activities.
hypertension,"I've been having a headache all day, and I feel sick to my stomach. I'm also having trouble concentrating and focusing on my work."
urinary tract infection,"I've been having to pee a lot, and it hurts when I do. Sometimes I see blood in my pee, and it smells really bad. I'm worried that I have an infection. What should I do?"
arthritis,"I've been having stiffness and weakness in my neck muscles lately. My joints have gotten stiff, so it's hard for me to run without getting stiff. Walking has also been uncomfortable."
dengue,I have a fever and my back hurts. I also have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I'm worried about my health.
gastroesophageal reflux disease,"I have a burning sensation in my chest and throat, and I often feel like I have to clear my throat. I also have bad breath and a bad taste in my mouth."
common cold,"I've been coughing a lot and I'm freezing. My nose is stuffed up and my face hurts. I've also been coughing up some nasty stuff, my chest hurts, and my muscles hurt. I can't smell anything."
varicose veins,"I have these large, bulging veins on my legs that are really painful. They're really visible and I'm worried about them."
migraine,"I've been having headaches, blurred vision, and acid reflux. These symptoms have been disturbing me and interfering with my usual activities."
drug reaction,I have trouble focusing and remembering things. I feel like I have brain fog.
drug reaction,I have been feeling very sick lately. I have been having chest pain and I feel very nauseous. I also sweat a lot.
gastroesophageal reflux disease,"I have a burning sensation in my throat, especially after I eat. I also sometimes get a sour or bitter taste in my mouth, which makes me feel sick."
arthritis,My neck muscles have been tight and weak lately. I've also been having trouble running and walking because my joints are stiff.
arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
migraine,"I've been feeling really grumpy and gloomy lately, and I've also noticed a change in my vision. I think it might be a migraine."
peptic ulcer disease,"I've lost a lot of blood and iron because of my bloody stools, and now I have anaemia and feel weak."
migraine,"I have been experiencing headaches, blurred and distorted vision, and visual disturbance. These symptoms have been affecting my daily life and causing me discomfort."
psoriasis,"I have thick, scaly skin on my palms and soles. The skin is also cracked and painful."
hypertension,"I've been having headaches, chest pain, and dizziness. I've also been having trouble concentrating and focusing on my tasks."
jaundice,I have been feeling really sick lately. I have been vomiting and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain. I am worried that I might have something serious.
drug reaction,"I feel like I'm going to pass out when I have a fever. My head is spinning, and my heart is racing. I can't think straight, and everything is blurry."
fungal infection,I have a rash that is spreading all over my skin and it is very itchy. I also have some discolored spots and little bumps all over my skin.
malaria,"I've been having a high fever, chills, and intense itching. I also have a headache and I'm sweating a lot. I've been feeling nauseous and my muscles are aching."
hypertension,I've been having a headache and chest pain. I've also been feeling dizzy and unstable. I'm also having problems focusing.
cervical spondylosis,I have been having a lot of pain in my back and neck. I also have a cough that produces phlegm and I feel weak and dizzy.
fungal infection,"I have red, bumpy areas on my skin that are itchy. I also have some bumps that resemble little lumps and some spots that are a different shade of skin than the rest of my body."
chicken pox,I have small red bumps on my arms and face. They are itchy and make my day very uncomfortable.
dengue,I have a high fever and a severe headache. My body aches and I feel chills every night. I also have a pain behind my eyes.
gastroesophageal reflux disease,"I have a lot of heartburn and indigestion, especially after I eat spicy or fatty foods. When I lie down or bend over, my chest discomfort gets worse. My chest hurts a lot."
hypertension,"I have been having headaches, chest pains, and dizziness. I also feel like I'm losing my balance and I can't focus."
psoriasis,"I have dry, scaly patches of skin on my knees, elbows, and scalp. These patches are often itchy and sometimes painful."
pneumonia,"I've been feeling really sick for the past few days. I have a high fever, shortness of breath, and I'm coughing up a lot of sputum. I'm also sweating, feeling chills, and I'm really tired."
psoriasis,I have been experiencing a lot of itching and redness on my skin. I have also noticed that my nails are becoming brittle and have started to develop dents. I am worried that this could be a sign of something more serious.
hypertension,"I've been feeling unwell for a while now. I have a headache, chest pain, and I feel unstable and have balance issues. I also have trouble focusing."
bronchial asthma,"I've been having a hard time breathing lately. I feel like I can't get enough air, and I'm always coughing. I've also been really tired, and I've been coughing up a lot of mucus. I'm not sure what's wrong with me, but I'm really worried."
peptic ulcer disease,I have been having bloody stools for a while now and I feel very weak and tired. I think I might have lost a lot of blood.
diabetes,"I have to pee a lot, and it's hard to hold it in. I feel dizzy and confused. I can't see very well."
impetigo,"I have a rash on my face, especially around my nose. It's red and painful, and there are some yellow sores that are oozing."
psoriasis,"I have been experiencing a red, itchy, scaly rash on my arms, legs, and torso for the past few weeks."
typhoid,I have had diarrhea for a few days now. It is very watery and smells bad. I also have a severe headache and feel like vomiting.
hypertension,"I've been having chest pains, headaches, and dizziness."
fungal infection,I have a rash that is itchy and red. It is also bumpy and has some patches that are a different color than the rest of my skin. I have also had some pimples that resemble little balls.
fungal infection,"I've been experiencing a lot of itching, which has been accompanied with a rash that appears to be growing worse over time. There are also certain areas of skin that are different colours from the rest, and I've spotted several lumps that resemble little nodes."
hypertension,"I've been having headaches, chest pain, dizziness, and trouble concentrating. I'm also feeling off balance."
varicose veins,I have noticed that my legs are swollen and the blood vessels are visible. I have swollen legs and I can see a stream of swollen veins on my calves.
fungal infection,"I've been itching a lot recently, and my skin is covered in rashy patches. There are also some areas where my skin doesn't look like its normal color, and I've had some painful lumps."
cervical spondylosis,"I've been having a lot of pain in my neck and back, and my arms and legs are numb. I've also been having problems with my balance and vertigo."
varicose veins,I have some red and inflamed skin on my legs. I think I can see some of the swollen blood vessels. I'm really worried about it.
pneumonia,I'm having trouble breathing and I'm sweating a lot. I have a lot of mucous in my throat and I feel sick. My chest hurts and my heart is racing. I'm coughing up red mucus.
jaundice,"I've been feeling really sick. I've had a fever, I've been losing weight, and I've been feeling really tired. My skin and my urine have turned yellow, and I've been having stomach pain."
jaundice,I've been feeling really sick. I've been throwing up and I'm itchy. I've also lost a lot of weight and I'm exhausted. My skin has turned yellow and my fever is high. I also have stomach ache and my urine is dark.
gastroesophageal reflux disease,"I have a feeling of food or acid backing up into my throat. I have chest pain which gets worse if I lie down. I get frequent heartburn or indigestion, after eating food and vomit it out"
hypertension,"I've been having headaches and chest pain for a few days now, and today I also started to feel dizzy and lightheaded."
arthritis,"I have been experiencing muscle weakness and stiffness in my neck, as well as swelling in my joints. This makes it difficult for me to walk around without feeling stiff and uncomfortable."
typhoid,I have been having a high fever for the past few days. It is especially bad at night. I also have a mild headache and have been constipated and having diarrhea.
jaundice,"I have been feeling very sick. I have been vomiting, I have no energy, and I have lost weight. My skin is yellow and my urine is dark. I have also been having abdominal pain."
psoriasis,I have been having pain in my joints and I have noticed that my skin is peeling in different places. I am worried that something is wrong with me.
impetigo,I have been having a fever for a few days and now I have sores near my nose. The sores are painful and I feel uncomfortable.
drug reaction,I have hair loss and there is a significant change in the texture of my hair. I have  dry and itchy sclap and increased dandruff. My skin is also getting very dry. I think it might be because of the medication I'm taking
impetigo,I have been feeling really tired and I have a fever. I have a rash on my face and it is very itchy. I can't sleep because of the rash.
impetigo,I have a fever and my nose is sore. There are red sores on my nose that are painful and have yellow stuff coming out of them.
allergy,I have a stuffy nose and nasal congestion. I sometimes have a stiff neck and chest discomfort at night. I can't taste or smell anything.
chicken pox,I have a lot of tiny red spots all over my face and neck area. They are itchy and make my day very uncomfortable.
migraine,I've been having recurrent headaches and blurred vision. I also have acid reflux and trouble digesting my food.
chicken pox,"I've been feeling really sick lately. I have a fever, swollen lymph nodes, and a headache. I don't feel like eating anything, and I'm really weak and tired. It's hard for me to concentrate on my daily life."
cervical spondylosis,I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.
chicken pox,I have a rash with little bumps that are itchy and painful. I also have a fever and feel tired.
migraine,I have been experiencing a lot of headaches and my vision has been blurry. I have also been having trouble digesting my food and I feel like I have acid reflux.
diabetes,"I have a lot of skin irritations and rashes, especially in the creases of my skin. Any wounds or bruises I have on my skin also heal very slowly."
gastroesophageal reflux disease,"I often have a burning sensation in my throat, especially after eating. I also sometimes get a bitter or sour aftertaste that makes me feel sick."
chicken pox,I have rashes on my skin that are itchy and I have a fever. I don't know what's causing it.
drug reaction,"I've been feeling really dizzy and disoriented lately, and I've also noticed that my sex drive has decreased. I'm also having a hard time thinking clearly."
common cold,I've been sneezing and coughing for a few days now. I'm also feeling really tired and weak. My fever is pretty high.
allergy,"I have trouble breathing and I get out of breath easily. My eyes hurt and I have a dry, hacking cough. My face and body are swollen."
arthritis,"My muscles are weak and my neck is stiff. My joints are swollen, which makes it hard for me to walk without feeling stiff. Walking is also uncomfortable."
typhoid,I'm having a really bad stomach ache and diarrhea. I also have a fever and a headache. The last few days have been really unpleasant.
hypertension,"I've been having headaches, chest pain, dizziness, and trouble standing up straight. I also feel like I can't concentrate as well as I used to."
bronchial asthma,"I'm so tired and weak, and my fever is really high. It's been hard to deal with all of these symptoms, and I've also been coughing up a lot of mucus. I'm getting really frustrated."
dengue,"I have been experiencing muscle pain and headache. The muscle pain is like a constant ache that is worse when I try to use the affected muscles. I also have small red spots developing on my face, neck and arms."
hypertension,"I've been having headaches and chest pain for a while now, and it's been getting worse. I also feel dizzy and lightheaded sometimes. I'm not sure what's going on, but I'm worried."
hypertension,"I have been feeling dizzy and lightheaded, and I have also had trouble keeping my balance. I have also had a headache that has not gone away."
diabetes,I have a wound that is not healing well. My hands and feet are numb and tingling.
chicken pox,I have a bunch of red spots all over my body. They are itchy and starting to swell. I think they are spreading.
urinary tract infection,"I have a burning sensation when I pee, and my lower abdomen hurts. I also have a low temperature and feel weak."
gastroesophageal reflux disease,"I have a hard time swallowing, and I feel full even after eating a small meal. I also have heartburn, nausea, and a tingling sensation in my throat."
migraine,"I have been having headaches and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance."
fungal infection,I have a lot of itchy bumps on my skin that sometimes turn red or rough. I also have some strange pimples that look like little balls and some weird spots that are a different color than the rest of my skin.
jaundice,I've been feeling really tired and sick to my stomach. I've also been losing weight and have a fever. My urine is dark and my skin has turned yellow. I've also been having stomach pain.
cervical spondylosis,"I've been having back pain, a persistent cough, and weakness in my limbs. I also have problems with vertigo and losing my balance, and my neck hurts."
chicken pox,"I've had a fever for a few days, and it's starting to worry me. I also have a headache, and I feel weak and lethargic."
psoriasis,I have pits in my nails and I am worried about what it could be. I also have rashes on my arms and back and my joints hurt.
typhoid,"I've been feeling really sick lately. I've lost my appetite and have noticed a significant weight loss. I have abdominal pain, especially in the area of my stomach and intestines. I'm worried about my health."
fungal infection,I have a rash all over my body that is itchy and red. Some of the patches are a different color than my skin and there are some lumps or pimples on my skin.
common cold,"I've been having a runny nose and sneezing for a few days. My eyes are also red and irritated. I've been coughing a lot, and my chest feels tight. I can't smell anything, and my muscles are aching."
malaria,"I've been having chills, nausea, a high temperature, and a headache. I've also been sweating a lot and feeling muscle aches."
typhoid,I've had severe stomach pain and constipation for the last few days. I also get a headache and chills every night.
malaria,"I've been feeling really sick lately. I have a high fever, chills, and severe itching. I've also been vomiting and sweating a lot. I have a headache and my muscles are sore."
typhoid,"I have been having severe belly pain and constipation for the past few days. I also have a fever, chills, and headaches every night. I am really uncomfortable."
typhoid,I have a sharp pain in my stomach. I have also been vomiting a lot and feel very nauseous.
varicose veins,I have some veins in my legs that are bulging out. I'm concerned about it. I'm also overweight and I think that might be the cause.
bronchial asthma,"I've been having trouble breathing, and I've been coughing a lot. I'm also really tired. I've been coughing up a lot of thick, mucusy stuff. It's been really hard to deal with all of this."
migraine,"I've been having headaches, blurred vision, and acid reflux. These symptoms have been bothering me and interfering with my usual activities."
impetigo,"I have a rash that started out as small red sores near my nose and neck. The sores have gotten more painful and inflamed in recent days, and I have a high temperature."
allergy,"I have a runny nose and sneeze a lot. My eyes are itchy and watery, and I cough a lot. My head hurts all the time."
diabetes,I have a chronic dry cough. I have palpitations and my infections don't seem to be getting better. I also have a sore throat that comes and goes.
drug reaction,I have gained a lot of weight and am now very obese. I have different urges and different appetites. I have been taking a new medication for my depression.
psoriasis,"I have been experiencing a lot of skin peeling and rashes on my arms, legs, and back. I also have joint pain."
impetigo,I have red sores on my face and near my nose. The rash is spreading quickly on my neck and chest.
malaria,"I've been feeling really hot and sweaty, and I've been throwing up. I've also been having chills, and my skin is really itchy. I've been having a headache, and I've been feeling really nauseous and achy."
fungal infection,I have a rash all over my body. It is itchy and red. There are some patches that are a different color than the rest of my skin. I also have some pimples that look like little balls.
common cold,I'm tired and my neck feels swollen. My eyes are bloodshot and my throat is scratchy. My nose is stuffed up and my face feels like it's under pressure. I can't smell anything and my chest hurts.
jaundice,I've been having terrible itching and nausea. I've lost weight and am really exhausted. My skin is yellow and I have a fever. My urine is dark and I have stomach pain.
hypertension,"I've been feeling dizzy and anxious, and I've been having trouble concentrating."
common cold,I've been having a runny nose and a sore throat for a few days now. I also feel like I have a fever and my body aches.
bronchial asthma,"I've been having trouble breathing, coughing a lot, and feeling tired. I've been coughing up a lot of thick, sticky mucus and have a fever. I'm just feeling really run down and exhausted from all of this."
pneumonia,"I've been coughing a lot and feeling really cold and tired. I have a fever, and it's hard for me to breathe. I've been sweating a lot and feeling weak and sick. I've had some thick, black phlegm."
malaria,"I've been feeling really sick for the past few days. I've had a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. I have a headache and my muscles are sore."
migraine,"I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity."
bronchial asthma,I've been having trouble breathing for a few weeks now. It's especially bad when I try to exercise or when I'm around smoke or other irritants. I also have a persistent cough and I'm always tired.
chicken pox,"I have a rash on my skin that is red, itchy, and painful. It is spreading all over my body."
typhoid,I have been having some constipation and belly pain for a few days now. The pain has been getting worse and it's really affecting my daily life. I'm also feeling really tired and weak.
peptic ulcer disease,I've been having bloody stools for a while now and I'm also feeling weak and tired. I think I might have anaemia.
varicose veins,I have pain in my legs that is worse when I stand or walk for long periods of time. I also have cramps and can't run for long periods of time.
impetigo,"I have sores on my face that are weeping clear fluid. I also have a high fever and chills every night, which makes it hard for me to sleep."
arthritis,I've been feeling really weak and my neck has been stiff. My joints are swollen and it's hard to move around. Walking is really painful.
malaria,"I've been having a really high fever, chills, and nausea. I've also been sweating a lot and have a headache. My muscles are sore and I feel sick."
pneumonia,I'm having trouble breathing and feeling really sick. I'm sweating a lot and feel terrible. My chest hurts and I have a lot of mucus in my throat. My heart is racing and the color of the mucus I'm coughing up is strange.
malaria,"I've had a high fever, vomiting, chills, and intense itching. I also have a headache and am sweating a lot. I'm feeling nauseous, and my muscles hurt a lot."
impetigo,I have a rash on my nose that is red and itchy. It feels like it is burning. I think it might be an infection.
psoriasis,I've been experiencing joint pain and skin peeling. I'm worried about what's going on with my body.
fungal infection,I have these red and bumpy spots on my skin that are itchy. They're also a different color than the rest of my skin. I've had some bumps that are kind of like little lumps.
hypertension,"I've been having chest pain, dizziness, and a headache that feels like a constant pressure in my forehead."
arthritis,I have a lot of pain in my neck and my muscles feel weak. My joints are swollen and I have a lot of stiffness when I walk. Walking is also very uncomfortable.
typhoid,I have been having a fever for a few days now and it's starting to get worse. I also have a terrible stomach ache and I'm constipated.
typhoid,"I've been vomiting and having diarrhea for a few days, and I'm having a hard time staying hydrated. I also have a mild fever and stomach pain."
common cold,"I've been coughing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurts to cough. I can't smell anything, and my muscles ache."
fungal infection,I have a rash all over my body that is really itchy. I also have some bumps that are firm and some patches that are a different color than the rest of my skin.
fungal infection,"I've been quite itchy recently, and I have rashy places all over my body. There are also some regions that don't appear to be the normal color of my skin, and I've experienced some firm lumps."
gastroesophageal reflux disease,"I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also get the hiccups a lot and feel like I have a lump in my throat."
peptic ulcer disease,I have abdominal pain or discomfort that is worse when I eat or drink. I have a loss of appetite and feel fatigued after going to the bathroom. I feel very tired all the time
psoriasis,"I have red, scaly patches on my skin that are itchy and painful. They are mostly on my knees, elbows, and arms, but they can also appear on my scalp and other parts of my body. I also have small dents in my nails."
pneumonia,I'm having trouble breathing and I'm sweating a lot. I feel really sick and my throat is full of phlegm. My chest hurts and my heart is racing. I'm coughing up a lot of mucus and it's red in color.
diabetes,I feel weak and tired. I can't taste or smell things as well as I used to. Sometimes my heart beats fast or I feel like I'm going to pass out.
pneumonia,"I'm having trouble breathing, and I have a really high fever. I'm sweating a lot and feeling really cold and tired. My heart is beating really fast, and I have some brownish sputum."
